text,emotion
I am fascinated by the exam review notes and I want to understand the reasoning! (124),Curious
I feel confident because this mathematics proof! (1069),Confident
The the online lab exercise is stressing me out and I really feel stuck. (401),Frustrated
The explanation for the algorithm explanation is mixed up and I cannot follow it! (1069),Confused
I am confused about the machine learning model because the same concept is explained too many times. (104),Confused
Nothing works in the lecture on recursion and I feel exhausted by the errors! (28),Frustrated
The solution for the exam preparation is clear now and I feel prepared. (837),Confident
I handled the the data science project successfully and I feel assured. (122),Confident
I am keen to find out how the research paper review behaves under different conditions. (72),Curious
The solution for the data science project is clear now and I feel prepared! (334),Confident
I feel puzzled by the statistics homework and I cannot separate the steps! (988),Confused
This the presentation slides feels fascinating and I want to investigate it. (54),Curious
I am frustrated because the project deadline keeps failing! (919),Frustrated
I really feel puzzled by the group assignment and I cannot separate the steps. (776),Confused
I am eager to discover how the coding assignment works in practice. (479),Curious
This the research paper review feels fascinating and I want to investigate it. (263),Curious
the programming challenge feels sleepy and I cannot stay engaged! (1027),Bored
I am interested in understanding the algorithm explanation in more depth! (70),Curious
I handled the the debugging session successfully and I feel assured! (1132),Confident
The concept of the group assignment seems unclear to me in this problem. (1034),Confused
I am not interested in the research paper review because the instructions are not clear enough! (592),Bored
This the online lab exercise is unclear and I am not sure how to proceed. (744),Confused
I would like to explore the project deadline because it seems promising! (1129),Curious
This the project deadline feels fascinating and I want to investigate it! (94),Curious
The approach for the presentation slides now makes sense and I feel ready. (639),Confident
The concept of the programming challenge seems unclear to me in this problem. (342),Confused
I really am curious about the lecture on recursion because the task feels too predictable. (36),Curious
I wish the project deadline were more stimulating because the error keeps appearing even after retries. (488),Bored
I really am perplexed by the lecture on recursion because the assignment is challenging but manageable. (851),Confused
The lesson on the debugging session is so repetitive that I lose focus. (863),Bored
I really am sure about the machine learning model because the logic is hard to connect to the examples. (501),Confident
I finally understood the coding assignment and I feel ready to proceed. (629),Confident
The solution for the lecture on recursion is clear now and I feel prepared. (668),Confident
Nothing works in the statistics homework and I feel exhausted by the errors. (404),Frustrated
This the quiz preparation is making me upset because the pace is too slow for my level. (882),Frustrated
I am sure about the presentation slides because the same concept is explained too many times. (617),Confident
I really want to explore the coding assignment further and learn more! (556),Curious
I am interested in understanding the algorithm explanation in more depth. (552),Curious
I am irritated by the online lab exercise and I cannot make progress. (408),Frustrated
I am frustrated because the statistics homework keeps failing. (723),Frustrated
This the algorithm explanation feels fascinating and I want to investigate it! (514),Curious
Nothing works in the statistics homework and I really feel exhausted by the errors! (751),Frustrated
I am eager to discover how the online lab exercise works in practice! (1027),Curious
